path,name,phrase,mfcc_mean0,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_std20,mfcc_std21,mfcc_std22,mfcc_std23,mfcc_std24,mfcc_std25,mfcc_std26,mfcc_std27,mfcc_std28,mfcc_std29,mfcc_std30,mfcc_std31,mfcc_std32,mfcc_std33,mfcc_std34,mfcc_std35,mfcc_std36,mfcc_std37,mfcc_std38,mfcc_std39,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std
./fastapi_app/Голосовые/Алексей/Вход - не распознано Алексей.wav,Алексей,Вход,-661.86,60.364,7.954,17.728,2.667,9.603,-0.739,1.053,-1.322,-1.374,-2.917,-3.397,-0.31,0.096,-1.316,0.346,-1.13,3.069,-3.186,0.92,23.172,11.927,7.105,6.411,7.076,6.819,3.748,4.254,3.998,3.846,5.447,4.761,5.46,4.991,4.818,5.748,5.476,4.03,4.727,5.382,3381.166,470.122,-1.278,7134.831,593.042
./fastapi_app/Голосовые/Алексей/Вход-не распознано Алексей.wav,Алексей,Вход,-661.088,62.941,10.456,25.382,8.987,12.287,5.727,6.388,3.484,1.718,-1.777,-1.707,0.544,-0.907,-2.898,-2.028,-4.4,2.876,-4.195,3.125,28.145,15.586,17.109,12.767,13.188,8.958,8.336,8.42,6.564,5.466,7.516,5.519,3.598,3.799,4.46,4.412,5.018,4.213,4.866,5.003,3079.52,897.493,-1.734,6378.967,1934.273
./fastapi_app/Голосовые/Алексей/Пицца 3 Алексей .wav,Алексей,Пицца,-668.759,55.867,4.943,17.154,0.169,8.683,3.061,5.356,0.719,-1.352,-1.038,-0.478,0.313,-0.853,-3.376,-0.551,-2.437,1.394,-5.611,1.487,21.921,6.824,11.134,7.862,4.189,4.269,6.571,5.325,5.144,4.381,4.06,4.338,4.449,3.145,2.645,4.329,4.489,4.379,5.038,4.523,3536.489,297.782,-2.351,7322.023,285.526
./fastapi_app/Голосовые/Алексей/Пицца Алексей.wav,Алексей,Пицца,-663.814,58.679,5.07,14.162,-1.292,4.082,-6.348,-1.49,-5.074,-4.698,-2.522,1.191,3.941,0.706,1.641,3.109,-0.787,3.653,-4.448,1.538,24.144,6.035,5.699,5.397,5.995,4.623,6.202,6.577,5.699,6.61,5.141,3.628,4.902,3.963,5.431,6.932,4.815,4.919,3.33,2.879,3438.036,237.287,-0.237,7183.77,344.469
./fastapi_app/Голосовые/Алексей/Собака - не распознано Алексей.wav,Алексей,Собака,-665.971,54.545,-1.261,14.842,2.556,11.221,1.623,3.216,1.235,1.575,-0.756,-0.654,2.809,0.759,-4.22,-1.715,-3.474,-0.444,-4.196,1.715,28.016,6.015,5.3,6.002,5.244,6.765,5.488,4.873,5.744,6.251,4.095,3.941,5.23,6.083,5.712,6.302,5.596,3.596,4.961,4.798,3508.358,216.267,-0.759,7235.156,300.914
./fastapi_app/Голосовые/Алексей/Собака Алексей.wav,Алексей,Собака,-670.868,53.081,2.775,15.315,-0.002,9.426,0.685,2.832,0.089,0.457,0.229,-1.184,1.312,0.603,0.005,2.284,-2.623,0.871,-5.25,0.719,24.859,7.687,5.817,4.302,5.651,4.771,5.41,5.444,4.606,4.986,4.756,5.044,5.004,5.532,4.625,3.747,4.341,3.587,5.425,4.916,3597.815,336.76,-1.994,7352.61,352.325
./fastapi_app/Голосовые/Алексей/Шкаф 2 Алексей.wav,Алексей,Шкаф,-665.937,56.719,2.388,17.291,1.364,7.291,-1.856,1.292,2.186,-0.882,-1.92,-0.36,1.688,-0.653,-4.161,-1.98,-2.323,1.621,-6.769,-0.411,24.17,7.426,6.677,6.204,8.389,7.012,5.415,5.166,4.86,4.377,3.971,5.379,6.555,4.775,5.113,4.947,4.227,4.073,4.418,4.729,3475.423,281.061,-0.867,7194.537,335.079
./fastapi_app/Голосовые/Алексей/Шкаф Алексей.wav,Алексей,Шкаф,-671.767,53.373,2.359,16.866,2.001,8.63,-0.073,1.713,-1.205,-1.772,-0.869,-1.112,0.911,-0.803,-0.805,0.443,-0.613,1.327,-3.87,2.431,25.492,3.992,4.299,3.924,3.856,4.102,3.869,3.253,4.704,4.332,3.341,4.338,4.32,3.871,4.156,4.526,4.375,4.284,4.378,3.074,3635.775,103.162,-0.204,7390.783,166.55
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 1.wav,Алексей,Вход,-461.985,97.478,8.576,-13.317,-20.47,-14.178,-8.586,-13.456,-13.339,-13.678,-17.942,-9.787,-9.034,-1.727,-4.673,-0.806,-4.875,-3.335,-5.691,-1.225,91.84,44.026,23.27,18.036,17.315,21.313,8.937,11.079,10.142,8.678,10.006,7.254,7.559,7.324,4.865,4.657,4.875,6.67,5.769,5.264,2470.335,924.155,-0.391,5554.343,2441.152
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 2.wav,Алексей,Вход,-430.314,95.791,-6.606,-7.162,-14.99,-8.236,-10.355,-20.744,-19.765,-7.425,-15.785,-8.758,-10.33,-9.706,-10.74,-7.623,-7.867,-1.037,-6.852,-2.117,77.402,40.773,24.531,19.457,13.942,8.559,10.525,13.709,11.51,5.977,6.951,7.558,6.763,5.255,6.031,6.438,5.228,5.479,4.647,4.733,2468.169,952.294,0.061,5118.54,2495.982
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 3.wav,Алексей,Вход,-485.508,95.094,18.934,-12.933,-19.273,-9.522,-10.017,-6.929,-13.143,-14.409,-17.25,-11.281,-9.745,-2.605,-6.67,-3.927,-5.96,-4.794,-7.21,-0.588,86.427,48.058,17.369,13.067,14.632,16.78,10.022,6.72,10.737,8.201,10.145,5.587,5.047,5.594,5.335,3.75,4.844,5.009,5.589,4.637,2570.535,1069.001,-0.582,5867.798,2758.656
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 4.wav,Алексей,Вход,-477.524,101.368,20.774,-11.831,-17.617,-14.627,-9.518,-11.068,-11.601,-12.698,-19.154,-11.906,-10.688,-1.123,-5.488,-3.24,-6.047,-5.743,-6.982,-0.557,93.815,42.115,19.903,20.985,20.767,15.098,10.392,7.271,12.466,7.261,11.55,3.988,5.233,5.51,6.163,4.489,5.249,3.912,4.49,3.694,2358.232,1035.933,-0.021,5326.531,2763.051
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 5.wav,Алексей,Вход,-441.439,103.11,16.397,-10.612,-22.409,-13.228,-11.173,-11.715,-14.492,-14.025,-22.153,-15.601,-8.601,-3.801,-8.247,-2.137,-6.712,-3.412,-6.414,-1.904,85.288,48.769,21.56,19.219,17.373,17.419,9.979,8.546,12.774,8.246,10.941,8.592,8.427,5.824,6.132,4.713,4.397,5.221,6.064,4.928,2308.143,1139.123,0.05,4912.607,2921.034
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Вход 6.wav,Алексей,Вход,-474.858,92.053,18.28,-11.283,-17.512,-14.352,-12.002,-11.891,-13.609,-13.253,-18.867,-11.87,-10.014,-3.528,-7.169,-3.039,-6.241,-4.949,-5.994,-0.528,91.79,51.399,21.781,21.082,16.019,15.892,9.944,7.896,10.063,9.19,8.932,6.033,6.058,6.876,4.456,3.426,6.696,4.835,5.028,5.468,2656.936,1225.71,0.401,5875.383,2738.848
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Пицца 1.wav,Алексей,Пицца,-464.974,74.94,10.553,-4.378,-6.691,-3.231,-18.318,-11.238,-13.92,-11.907,-18.5,-13.172,-8.552,-6.001,-8.792,-6.24,-6.889,-6.977,-3.75,-1.013,90.694,34.755,12.038,16.531,12.841,10.94,8.85,6.039,9.644,5.442,5.624,4.406,4.248,6.159,8.052,5.021,3.598,6.943,4.331,5.558,2930.81,1145.272,0.917,6377.009,1722.536
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Пицца 2.wav,Алексей,Пицца,-466.43,81.669,7.584,-0.119,-6.034,-0.537,-12.872,-14.332,-11.331,-8.694,-20.092,-12.896,-7.569,-6.65,-8.598,-8.818,-10.237,-4.162,-3.46,-4.047,88.398,37.142,14.186,23.576,17.189,13.865,11.896,10.229,8.746,7.214,9.217,6.352,4.653,5.716,6.844,5.773,3.33,4.589,4.525,5.235,2717.776,1129.921,1.228,5979.134,2050.217
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Пицца 3.wav,Алексей,Пицца,-455.223,54.14,10.402,-1.172,-8.345,-3.208,-21.285,-9.594,-12.606,-8.992,-22.404,-11.27,-8.513,-4.982,-5.781,-6.397,-5.182,-4.634,-5.49,-1.198,91.086,39.627,15.209,25.65,16.544,11.553,11.004,6.996,10.08,6.01,9.371,5.118,4.575,6.598,7.567,4.522,4.03,8.015,5.822,4.714,3421.473,1215.836,1.102,7103.021,1376.375
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Пицца 4.wav,Алексей,Пицца,-425.595,78.507,12.658,-5.058,-4.79,-3.842,-20.142,-12.866,-13.438,-10.155,-17.894,-14.591,-11.496,-5.876,-5.955,-7.33,-8.584,-5.045,-4.912,-2.72,100.768,28.643,11.549,24.829,16.69,9.616,8.445,6.493,8.699,6.009,8.678,5.468,5.672,4.76,8.127,5.563,5.246,4.566,5.241,4.508,2799.975,935.558,0.586,6407.596,1632.729
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Пицца 5.wav,Алексей,Пицца,-416.766,59.65,10.546,-1.484,-5.908,0.967,-18.779,-11.92,-16.617,-8.876,-20.151,-10.739,-8.018,-4.992,-9.378,-8.765,-9.228,-6.498,-5.071,-4.195,72.004,33.101,15.622,25.115,18.023,13.583,8.408,11.282,8.631,8.607,10.733,7.495,5.379,5.718,8.403,5.236,4.551,4.21,5.442,6.915,3387.159,1208.048,0.048,6986.056,1728.782
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Привет 1.wav,Алексей,Привет,-475.798,93.436,11.304,5.455,-0.157,-14.196,-8.16,-22.011,-15.298,-8.396,-22.973,-13.164,-9.088,-4.918,-7.565,0.227,-10.002,-1.327,-6.2,0.432,113.202,24.034,14.266,14.315,17.117,11.936,6.371,15.429,7.017,4.597,16.704,8.514,4.901,4.424,5.489,4.766,6.389,6.75,4.012,5.497,2264.37,747.341,-0.457,5422.207,2209.881
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Привет 2.wav,Алексей,Привет,-475.957,85.644,16.071,6.25,-3.174,-16.135,-5.711,-19.693,-16.921,-5.324,-22.649,-12.293,-12.898,-0.259,-8.071,-0.072,-7.78,-1.885,-4.59,-1.246,111.19,31.114,12.508,23.325,18.298,13.214,8.131,13.687,10.163,6.85,16.39,9.528,8.226,7.166,8.933,5.165,6.964,5.398,5.024,4.124,2611.951,1001.287,-0.353,6041.042,2601.933
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Привет 3.wav,Алексей,Привет,-483.845,85.601,15.42,10.059,-2.258,-12.447,-7.629,-17.505,-16.661,-5.35,-24.211,-14.74,-11.594,-1.214,-5.674,1.274,-10.548,-1.449,-4.949,0.374,109.78,25.543,12.356,20.09,14.432,17.406,7.142,16.964,9.623,8.485,18.293,7.105,8.322,5.667,8.044,4.918,6.912,6.13,3.438,4.717,2425.773,840.784,-0.556,5601.324,2311.566
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Привет 4.wav,Алексей,Привет,-471.35,91.775,11.551,7.066,-2.043,-11.561,-4.911,-21.325,-17.458,-7.603,-22.501,-14.943,-9.263,-2.494,-10.671,-0.903,-9.635,-3.265,-5.327,-1.559,114.477,31.763,17.331,16.527,16.053,12.757,7.069,13.998,9.513,4.251,15.693,9.5,5.79,4.512,7.218,7.49,5.967,4.555,3.977,4.563,2453.22,921.021,-0.068,5679.872,2391.274
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Привет 5.wav,Алексей,Привет,-491.304,88.399,15.303,8.474,-5.678,-12.719,-5.887,-22.278,-20.245,-4.788,-24.138,-13.711,-11.049,-1.95,-6.72,0.344,-10.815,-0.96,-4.691,0.194,107.049,26.654,11.191,18.017,15.729,13.524,8.057,17.828,12.509,6.838,18.244,7.684,5.529,4.977,6.087,6.28,6.347,6.244,3.548,3.38,2357.52,851.216,-0.62,5558.503,2323.959
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Собака 1.wav,Алексей,Собака,-409.413,109.596,7.388,-24.627,-15.58,-1.413,-18.184,-12.082,-18.827,-10.854,-20.209,-8.343,-6.093,-3.728,-8.808,-5.415,-9.397,-8.476,-4.948,-4.662,97.708,63.108,23.326,14.797,12.86,15.909,11.855,10.399,8.857,7.546,12.474,9.112,5.217,4.919,3.738,4.059,4.537,6.301,4.287,3.924,2470.744,1560.168,0.975,4614.145,2977.272
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Собака 2.wav,Алексей,Собака,-417.6,85.997,4.403,-21.539,-14.559,-4.265,-17.265,-8.197,-14.534,-9.695,-15.392,-9.332,-6.486,-1.739,-8.579,-3.71,-8.737,-7.185,-5.024,-2.901,94.161,55.675,17.37,13.93,14.356,12.396,10.259,6.289,9.94,9.04,10.853,7.497,7.466,5.399,4.894,3.907,3.761,4.465,4.196,4.628,2975.723,1383.586,0.379,6084.353,2678.897
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Собака 3.wav,Алексей,Собака,-395.156,74.511,3.967,-22.282,-17.632,-1.106,-23.932,-12.445,-16.487,-9.37,-17.544,-10.227,-10.495,-1.305,-8.681,-6.107,-6.436,-5.976,-4.014,-1.753,64.912,36.32,26.304,12.105,20.123,9.774,8.07,7.81,7.618,7.097,7.385,7.052,4.212,5.455,4.807,5.683,6.553,4.965,6.766,4.116,3082.777,1277.469,1.302,6303.356,1554.646
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Собака 4.wav,Алексей,Собака,-457.653,73.215,20.83,-13.063,-13.856,-0.386,-16.699,-11.271,-15.847,-8.981,-16.913,-12.237,-8.569,-2.294,-5.829,-2.439,-8.083,-5.145,-3.147,-0.865,76.283,47.089,10.415,7.378,7.903,11.116,10.544,6.222,7.724,7.778,7.548,4.873,3.942,5.333,4.916,4.691,5.224,3.832,3.248,4.429,3284.274,1357.115,0.236,6801.556,2335.923
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Шкаф (1).wav,Алексей,Шкаф,-441.888,89.121,-5.559,-20.71,-13.401,-5.375,-15.273,-7.98,-20.209,-7.061,-17.354,-5.613,-8.742,-3.399,-8.532,-5.252,-5.678,-7.737,-1.384,-3.187,101.269,58.082,17.254,22.152,11.762,10.252,10.245,9.101,11.469,7.888,8.14,8.559,6.457,6.099,6.255,4.77,5.967,6.672,5.469,4.047,2851.016,1163.276,-0.172,6010.211,2583.144
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Шкаф (2).wav,Алексей,Шкаф,-436.096,82.216,-8.283,-18.311,-11.579,-7.217,-20.656,-10.691,-18.889,-6.95,-19.747,-8.363,-7.011,0.454,-9.839,-4.419,-6.194,-8.541,0.638,-2.739,105.868,62.303,21.683,20.901,10.444,10.55,8.081,7.546,7.741,8.877,7.319,7.06,5.537,5.433,9.167,4.995,4.034,9.542,5.036,5.361,2938.16,1222.306,0.38,6167.55,2267.152
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Шкаф (3).wav,Алексей,Шкаф,-441.406,91.916,1.641,-13.563,-9.058,-9.406,-19.24,-14.303,-20.841,-8.007,-20.208,-7.976,-8.24,-3.455,-9.073,-2.983,-8.892,-7.775,-2.343,-3.85,111.732,49.868,26.285,21.996,8.614,9.968,8.896,6.493,6.99,10.089,9.23,7.552,5.396,5.743,7.046,5.075,4.454,6.738,5.368,4.588,2608.938,1060.882,0.663,5877.83,2205.873
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Шкаф (4).wav,Алексей,Шкаф,-402.781,57.502,-9.21,-11.537,-16.965,-4.61,-18.23,-12.39,-20.202,-9.171,-17.588,-11.474,-6.208,-2.275,-9.537,-4.13,-6.526,-6.291,-0.923,-1.817,87.042,53.258,14.478,19.005,6.42,7.703,9.18,6.709,9.48,8.405,4.639,7.373,4.572,6.133,5.665,3.429,4.032,7.07,5.905,5.265,3470.006,1120.109,-0.498,6764.607,2134.521
./fastapi_app/Голосовые/Алексей/Якурнов Алексей Шкаф (5).wav,Алексей,Шкаф,-454.412,87.574,-0.835,-17.506,-11.814,-4.31,-15.334,-10.271,-17.721,-4.413,-17.728,-8.018,-7.907,-3.659,-9.78,-2.984,-5.626,-10.129,-4.282,-4.436,102.342,53.759,15.839,23.036,8.92,9.807,9.264,7.674,11.24,8.626,5.857,7.547,7.057,6.797,5.059,4.559,5.835,6.46,5.93,3.227,2824.455,1162.397,0.471,5953.441,2356.742
./fastapi_app/Голосовые/Арина/Титова Арина Вход (1).wav,Арина,Вход,-378.205,81.233,11.209,14.856,-10.851,2.112,-17.276,-8.413,-1.218,0.11,-0.636,2.876,-4.858,5.422,-4.082,-2.764,-2.256,-9.896,-3.795,-6.548,124.472,47.127,23.512,24.365,34.597,12.591,13.375,9.48,10.879,11.284,10.031,5.502,10.581,7.676,6.53,6.343,4.391,7.53,6.119,6.586,2535.943,945.993,-0.43,5367.64,2079.106
./fastapi_app/Голосовые/Арина/Титова Арина Вход (2).wav,Арина,Вход,-474.23,73.223,10.918,20.891,12.881,1.076,-3.561,4.212,2.624,5.314,-6.057,-1.34,-3.502,3.703,-7.681,-3.349,-2.108,-8.949,-1.007,-5.099,143.642,37.597,26.769,30.904,24.529,8.932,8.488,6.18,8.127,12.578,8.09,10.046,10.647,7.903,7.49,5.567,6.864,5.916,4.786,6.869,2700.985,909.7,-0.04,5864.617,2118.34
./fastapi_app/Голосовые/Арина/Титова Арина Вход (3).wav,Арина,Вход,-374.766,79.836,9.834,20.223,-15.637,-12.533,-10.589,-7.867,4.526,-2.985,-7.056,-1.298,-6.406,4.852,-9.275,-2.104,-1.637,-6.85,-2.858,-4.174,126.063,48.819,26.589,23.966,34.471,15.347,8.491,9.417,8.182,13.372,10.939,10.84,10.371,6.986,9.982,7.145,5.971,5.29,7.761,5.964,2698.023,1081.763,0.117,5284.933,2356.731
./fastapi_app/Голосовые/Арина/Титова Арина Вход (4).wav,Арина,Вход,-392.351,69.623,15.995,8.65,-8.676,0.842,-4.655,-6.382,6.22,-2.271,2.208,0.049,-1.783,5.704,-5.061,-4.981,-3.472,-6.899,-4.795,-5.451,151.427,54.708,18.34,18.639,32.337,11.129,12.693,13.451,11.319,14.532,8.552,7.137,9.221,8.056,6.567,5.66,6.456,4.52,6.534,5.386,2547.639,1103.507,0.511,5386.971,2363.738
./fastapi_app/Голосовые/Арина/Титова Арина Вход (5).wav,Арина,Вход,-409.015,86.544,15.818,15.659,-11.508,-5.367,-8.793,-9.639,2.312,1.445,-5.324,-2.923,-3.204,3.143,-7.209,-3.259,-0.946,-8.56,-1.308,-6.718,130.987,51.37,19.214,23.653,38.792,15.567,12.376,10.132,12.295,9.253,10.098,10.612,10.683,8.363,7.706,5.251,5.358,7.291,5.284,10.538,2253.412,855.451,-0.02,4656.066,2097.753
./fastapi_app/Голосовые/Арина/Титова Арина Пицца (1).wav,Арина,Пицца,-389.863,71.464,35.234,26.197,0.465,6.16,-24.469,-11.532,-3.802,-1.455,-4.181,-10.745,-2.668,-4.254,-4.108,-5.882,-4.866,4.029,-4.64,-6.144,162.222,43.111,19.992,33.559,17.891,10.243,12.089,10.747,7.98,8.073,8.876,5.505,8.6,6.796,4.934,6.331,6.874,5.428,5.615,4.114,2729.388,1355.517,0.94,5662.254,2356.586
./fastapi_app/Голосовые/Арина/Титова Арина Пицца (2).wav,Арина,Пицца,-326.428,102.046,-8.707,12.666,2.588,-4.594,-20.44,-7.582,-11.605,1.351,-4.67,1.134,-8.979,-3.851,-5.911,0.967,-6.731,-0.082,-5.867,-5.18,151.956,44.944,29.325,30.695,16.045,16.16,13.398,9.377,13.188,7.994,7.26,7.296,9.756,11.666,6.523,8.774,6.304,4.708,9.196,7.037,2126.301,1152.595,1.781,4124.832,2193.073
./fastapi_app/Голосовые/Арина/Титова Арина Пицца (3).wav,Арина,Пицца,-367.278,83.857,12.625,18.547,-1.376,-3.91,-19.909,-6.303,-9.052,6.216,-7.266,-2.978,-9.691,1.583,-7.782,-3.581,-4.065,-1.54,-3.446,-5.418,126.989,42.715,14.953,31.362,17.325,12.4,10.702,15.324,8.535,9.915,8.739,7.386,11.069,8.646,9.533,5.3,4.517,5.34,7.155,5.453,2553.764,1260.485,0.703,5108.018,2316.598
./fastapi_app/Голосовые/Арина/Титова Арина Пицца (4).wav,Арина,Пицца,-370.074,84.299,16.467,13.48,1.076,1.607,-18.24,-2.261,-6.212,4.645,-7.485,-5.707,-9.079,0.819,-11.51,-6.541,-4.64,-2.838,-5.729,-4.194,134.603,47.93,27.086,31.674,12.811,8.956,12.751,8.804,6.61,6.062,7.462,6.445,10.416,6.319,6.278,4.514,4.132,3.59,6.446,3.981,2508.73,1344.857,1.431,5277.592,2227.782
./fastapi_app/Голосовые/Арина/Титова Арина Пицца (5).wav,Арина,Пицца,-345.657,71.82,9.924,25.964,7.086,0.134,-23.777,0.987,-14.186,6.802,-8.565,-1.912,-6.769,3.598,-8.188,-0.125,-4.262,-2.948,-2.97,-4.629,124.492,45.404,23.091,29.848,13.204,14.299,11.298,11.81,8.841,9.907,5.566,7.414,11.048,5.091,4.193,6.513,5.466,5.907,8.116,5.16,2922.783,1320.879,1.033,5680.116,2168.269
./fastapi_app/Голосовые/Арина/Титова Арина Привет (1).wav,Арина,Привет,-379.189,76.793,12.071,39.175,14.827,2.764,-22.056,-9.76,7.991,-11.97,-0.34,5.083,3.581,-4.321,-7.437,-0.237,-4.272,-9.111,-1.883,-0.464,159.048,34.837,21.26,27.87,15.807,11.926,20.172,18.35,6.636,19.671,8.353,7.108,4.414,7.329,7.271,6.097,5.803,5.873,8.198,4.317,2253.363,839.833,0.386,5007.204,1788.72
./fastapi_app/Голосовые/Арина/Титова Арина Привет (2).wav,Арина,Привет,-395.491,76.017,6.93,34.958,9.491,-0.801,-1.301,-13.442,-8.797,-3.699,-12.982,0.346,-3.521,3.168,-10.473,0.941,-1.778,-7.626,-2.542,-4.492,141.252,37.548,23.553,27.955,20.335,16.251,11.04,15.551,15.221,10.089,7.697,7.843,7.866,11.529,6.926,3.095,4.682,5.567,5.483,5.126,2363.223,1100.637,1.045,5013.077,1965.201
./fastapi_app/Голосовые/Арина/Титова Арина Привет (3).wav,Арина,Привет,-367.66,85.243,-6.669,31.497,2.33,1.63,-3.268,-18.045,-10.831,-12.598,-14.32,1.982,-8.875,3.631,-11.47,-1.73,-1.475,-10.462,-2.742,-9.495,134.854,30.161,21.711,33.542,16.257,14.713,10.062,16.934,12.399,8.174,8.413,7.04,7.222,12.23,8.523,6.582,7.058,7.025,5.535,6.081,2121.042,725.611,0.089,4726.538,1528.832
./fastapi_app/Голосовые/Арина/Титова Арина Привет (4).wav,Арина,Привет,-334.506,80.494,16.322,39.84,12.107,3.208,-29.394,-16.207,-1.262,-13.451,-6.071,0.623,0.096,-0.506,-5.332,-0.977,0.218,-5.495,-4.677,-0.89,148.445,41.006,23.461,20.188,16.688,20.309,13.784,9.589,11.516,16.26,10.212,9.268,7.411,8.369,7.529,4.617,6.309,6.504,7.241,5.204,2243.221,1203.079,1.091,4639.671,2062.567
./fastapi_app/Голосовые/Арина/Титова Арина Привет (5).wav,Арина,Привет,-378.242,70.207,12.196,33.94,11.132,3.198,-24.225,-10.294,2.691,-12.457,-3.563,0.175,4.646,-0.133,-7.979,-2.296,-5.745,-10.022,-2.126,-1.034,187.2,37.852,19.613,26.906,15.609,12.621,17.573,12.088,8.197,14.344,8.095,8.713,8.217,5.889,7.014,5.396,5.611,5.817,6.255,3.507,2403.38,954.232,0.951,5299.126,1815.142
./fastapi_app/Голосовые/Арина/Титова Арина Собака (1).wav,Арина,Собака,-347.432,99.492,26.119,5.453,-5.336,17.331,-20.776,-7.772,0.297,-9.515,6.801,-2.398,-4.148,-4.002,-0.723,-6.008,-7.584,-1.933,-4.578,-7.619,163.592,64.782,33.578,23.351,23.643,17.457,12.786,11.041,9.318,13.854,10.114,7.916,9.529,8.445,4.337,5.748,5.07,5.631,5.437,6.432,2296.436,1389.736,1.244,4569.933,2819.941
./fastapi_app/Голосовые/Арина/Титова Арина Собака (2).wav,Арина,Собака,-273.65,110.943,2.167,1.275,-22.749,1.469,-14.581,-10.497,-3.753,-6.99,-4.753,0.964,-13.392,-2.314,-8.995,-8.195,-0.395,-4.956,-8.19,-3.953,131.524,54.581,36.991,13.278,22.058,11.379,9.566,10.192,6.229,5.044,7.547,9.385,11.706,8.299,5.772,6.153,6.3,6.431,8.629,6.847,2139.316,1462.101,1.76,3906.319,2420.864
./fastapi_app/Голосовые/Арина/Титова Арина Собака (3).wav,Арина,Собака,-285.842,93.724,0.256,-7.628,-5.371,3.618,-19.638,-15.721,-1.767,-1.834,-2.292,5.717,-13.316,7.904,-6.164,-8.054,-9.979,0.231,-5.228,-5.191,149.764,70.758,32.047,10.429,19.59,11.876,11.159,15.455,10.486,12.054,7.917,10.234,17.573,6.469,3.636,6.502,7.928,5.93,6.661,8.06,2585.019,1938.854,1.513,4589.753,2740.184
